127.0.0.1 - - [25/Aug/2024:16:36:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:36:10 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:36:10 +0530] "GET /vegetables/product-images/ HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:36:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:41:35 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:41:36 +0530] "GET /vegetables/product-images/ HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:41:36 +0530] "GET /vegetables/product-images/carrot.jpg HTTP/1.1" 200 11137
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:41:36 +0530] "GET /vegetables/product-images/Beetroot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:41:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:43:32 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:43:32 +0530] "GET /vegetables/product-images/ HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:44:31 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:48:02 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:48:02 +0530] "GET /vegetables/product-images/tomato.jpg HTTP/1.1" 200 24568
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:51:20 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:51:40 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:53:29 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:53:31 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:53:34 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:53:39 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:53:40 +0530] "GET /vegetables/login.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:53:42 +0530] "POST /vegetables/user-Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:53:42 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:54:10 +0530] "GET /vegetables/login.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:54:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:54:34 +0530] "POST /vegetables/user-Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:54:34 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:57:47 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:58:03 +0530] "GET /vegetables/ilogin.jsp HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:58:14 +0530] "GET /vegetables/login.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:58:38 +0530] "POST /vegetables/user-Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2024:16:58:38 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 3188
