127.0.0.1 - - [13/Oct/2024:21:55:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:55:29 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:55:29 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:55:29 +0530] "GET /vegetables/product-images/carrot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:55:29 +0530] "GET /vegetables/product-images/Beetroot.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:55:29 +0530] "GET /vegetables/product-images/tomato.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:55:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:55:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:55:58 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:00 +0530] "GET /vegetables/login.jsp HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:01 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:03 +0530] "GET /vegetables/add-to-cart?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:03 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 10814
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:05 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:08 +0530] "POST /vegetables/order-now HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:08 +0530] "GET /vegetables/login.jsp HTTP/1.1" 200 2322
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:09 +0530] "POST /vegetables/user-Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:09 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 10918
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:12 +0530] "GET /vegetables/orders.jsp HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:15 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:17 +0530] "GET /vegetables/remove-from-cart?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:17 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:27 +0530] "GET /vegetables/order-now?quantity=1&id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:27 +0530] "GET /vegetables/orders.jsp HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:31 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 10918
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:33 +0530] "GET /vegetables/add-to-cart?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:33 +0530] "GET /vegetables/index.jsp HTTP/1.1" 200 10918
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:34 +0530] "GET /vegetables/add-to-cart?id=4 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:36 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:38 +0530] "GET /vegetables/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:38 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:38 +0530] "GET /vegetables/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:38 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:39 +0530] "GET /vegetables/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:39 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:44 +0530] "GET /vegetables/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:45 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:58 +0530] "GET /vegetables/quantity-inc-dec?action=dec&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:58 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:59 +0530] "GET /vegetables/quantity-inc-dec?action=dec&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:56:59 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:57:00 +0530] "GET /vegetables/quantity-inc-dec?action=dec&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:57:00 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:57:00 +0530] "GET /vegetables/quantity-inc-dec?action=dec&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2024:21:57:00 +0530] "GET /vegetables/cart.jsp HTTP/1.1" 200 3012
